Trial,Post-Stimulus Frontal Mean,Pre-Response Frontal Mean,Post-Stimulus Frontal Stdev,Pre-Response Frontal Stdev,Post-Stimulus Central Mean,Pre-Response Central Mean,Post-Stimulus Central Stdev,Pre-Response Central Stdev,Post-Stimulus Temporal-L Mean,Pre-Response Temporal-L Mean,Post-Stimulus Temporal-L Stdev,Pre-Response Temporal-L Stdev,Post-Stimulus Temporal-R Mean,Pre-Response Temporal-R Mean,Post-Stimulus Temporal-R Stdev,Pre-Response Temporal-R Stdev,Post-Stimulus Occipital Mean,Pre-Response Occipital Mean,Post-Stimulus Occipital Stdev,Pre-Response Occipital Stdev
85,0.020566473,-0.1640798,4.353653,4.4294014,0.16191418,0.03577614,3.2661767,3.5583203,-0.29925862,0.03248382,5.4880986,6.1782413,0.23268555,0.15820666,4.1759286,3.9383726,-0.20721899,-0.06650827,5.367325,5.1262827
86,-0.09079226,0.01983074,3.8708193,4.4015145,0.07485635,-0.10117345,3.4223056,3.508103,-0.109564394,0.2580575,6.3445616,6.3944974,0.04757564,0.12830178,4.2005115,4.12067,0.06300639,-0.10045385,5.2336836,5.5556254
87,-0.35077736,0.05008314,4.008644,4.104059,0.1979217,-0.000664521,3.2813418,3.7636487,-0.007331694,-0.040033918,5.3771577,5.90092,-0.16564701,0.1410085,3.6208236,3.8471568,0.24014854,-0.18376277,4.978786,4.8398104
88,-0.1542559,-0.13060194,3.946585,4.1474447,0.065789305,0.10580196,3.9556763,3.7896762,-0.18955521,-0.12994064,5.794522,6.3271103,0.05175571,0.11913838,3.6983097,4.2659883,0.12691307,0.15668412,5.578831,5.2741413
89,0.2087427,0.33655035,3.8422341,3.8175216,-0.06273323,-0.16659808,3.480022,3.8246481,-0.09642004,-0.023361975,5.392162,5.772978,-0.18992467,-0.019585991,4.02775,3.843356,0.023691894,-0.097269796,4.6608834,4.9382315
90,-0.10341861,-0.15279196,4.977297,4.747507,-0.23453037,0.023767883,3.8059783,3.2449358,0.09918352,0.007116905,4.832422,4.5625505,0.048607383,-0.09109179,4.841047,4.2048116,0.19898234,0.005003492,5.3192387,4.8312755
91,0.1285431,0.0069830716,4.5623,4.708787,0.06341726,-0.12917757,3.2247307,3.5614698,-0.17812045,0.1161736,4.636095,4.9647565,-0.053545475,-0.1287372,4.6292458,5.252644,0.016924286,0.09231207,4.7980003,5.277426
92,-0.016232079,0.39795956,6.7041354,4.9584374,0.029483525,-0.16527577,3.8413818,3.2832165,0.24608774,0.16682673,5.6309266,4.977924,-0.17932518,-0.027487723,4.8047457,4.896915,0.03376147,-0.21324839,5.6738176,5.1465592
93,-0.003510895,0.110141106,5.2077255,4.8101854,0.081759065,0.031142384,3.276792,3.5800698,-0.05116916,0.03186549,6.757716,5.1135907,-0.17227195,0.11906975,5.4828167,4.9364657,-0.0077111307,-0.12941436,5.290193,5.20051
94,-0.004630197,-0.074698895,5.023947,4.670387,0.12948896,0.2136093,3.4331286,3.3994393,-0.17938852,-0.016097855,6.455518,6.4170475,-0.014576173,0.024753869,5.3686795,5.1756225,-0.07156179,-0.15170825,5.5057435,5.2194066
95,0.41725704,0.3768688,4.446381,5.155563,0.10882011,-0.10112818,3.502855,3.958627,-0.03625885,0.06299836,5.3347607,5.123773,-0.030025445,-0.042293835,5.114866,4.5018272,-0.490978,-0.14478637,5.7310205,4.928378
96,-0.021682372,-0.33731374,4.5478616,5.1036763,-0.006405571,0.058222923,3.0286083,3.6681886,-0.0027660902,0.07946456,4.20767,4.91755,0.0040200576,-0.056448724,3.7171884,4.0841837,-0.00505383,0.13976024,5.330591,5.554026
97,-0.14476512,-0.27263063,5.468723,5.2196865,0.14147258,0.11021178,3.9085772,3.3733902,-0.085146636,-0.13730228,4.684824,4.8713703,-0.0910502,-0.18558556,4.8213215,4.2673435,0.055624604,0.14433698,5.0231457,5.0879326
98,0.42030573,0.09267923,5.522591,5.5700865,-0.060400534,-0.18227713,4.1894298,3.9342837,0.22227871,0.21702202,8.092752,4.508266,0.027839914,-0.11138002,5.480627,4.4427648,-0.32917348,0.052578818,4.8940806,4.967297
99,-0.39277864,0.25695717,5.2202964,4.77441,0.1970741,0.0052039116,3.4609854,3.1835787,-0.09851509,-0.089205414,5.1560774,4.504687,-0.34557986,0.0745248,5.3383756,5.1027727,0.24521048,-0.18649776,5.3555255,4.8334875
